PID,geometry
1,Point (3.71082059 51.06985922)
2,Point (4.37854185 51.19196355)
3,Point (3.7132579 51.03041364)
4,Point (3.64192129 50.99308365)
5,Point (3.63169316 50.98999886)
6,Point (3.72991916 51.05693563)
7,Point (3.74347029 51.04581401)
8,Point (3.62175203 51.02465792)
9,Point (3.71372973 51.05490695)
10,Point (3.73328913 51.06103289)
11,Point (3.73121797 51.05054482)
12,Point (3.55042086 50.98196423)
13,Point (4.369806 51.17269442)
14,Point (4.42425269 51.19645802)
15,Point (4.38993973 51.20781557)
16,Point (3.69458827 51.05088225)
17,Point (4.39578346 51.20462552)
18,Point (3.7407321 51.03778739)
19,Point (4.24809215 51.2181921)
20,Point (3.76761436 51.05328882)
21,Point (3.51712777 50.99074873)
22,Point (3.74936329 51.0268091)
23,Point (3.71165624 51.07112004)
24,Point (4.42814867 51.15864573)
25,Point (4.3475371 51.1616012)
26,Point (3.74378665 51.0358765)
27,Point (3.77958999 51.03743172)
28,Point (4.39030294 51.20759762)
29,Point (3.71383785 51.0578243)
30,Point (3.53180509 51.01397701)
31,Point (3.80131659 51.00388019)
32,Point (3.74752634 51.03147532)
33,Point (3.69085244 51.08340172)
34,Point (3.53782791 50.98273822)
35,Point (4.3429017 51.1768539)
36,Point (3.76262889 51.03901326)
37,Point (3.58200689 51.05397773)
38,Point (4.35182612 51.15937018)
39,Point (3.76577253 51.06596382)
40,Point (3.74387369 51.03610637)
41,Point (3.71366625 51.04682962)
42,Point (4.37902616 51.18147824)
43,Point (3.55656174 51.03381847)
44,Point (4.32882209 51.20499303)
45,Point (4.35300374 51.15923245)
46,Point (3.67024189 51.01848894)
47,Point (4.3938752 51.2028856)
48,Point (3.62984008 50.99206051)
49,Point (4.33374665 51.2121267)
50,Point (4.24266032 51.20449969)
51,Point (3.63142376 50.99072731)
52,Point (4.43596615 51.17308047)
53,Point (3.71334465 51.08401079)
54,Point (3.69908571 51.06564114)
55,Point (4.24918045 51.21326171)
56,Point (4.38256513 51.16720926)
57,Point (3.73072227 50.9833922)
58,Point (3.72345365 51.04682444)
59,Point (3.71439755 51.03724082)
60,Point (4.24265837 51.20522505)
61,Point (4.39726869 51.2145056)
62,Point (4.34122154 51.17177599)
63,Point (3.71992376 51.05188887)
64,Point (3.72855806 51.05105305)
65,Point (3.72492374 51.01864047)
66,Point (3.70323181 51.04953729)
67,Point (3.80018911 51.00476821)
68,Point (3.57855354 50.98184583)
69,Point (3.56054067 50.98427653)
70,Point (3.7543337 51.0436416)
71,Point (3.63052324 50.99252138)
72,Point (3.7342794 51.05880053)
73,Point (4.39008522 51.16441202)
74,Point (3.64372883 50.98497003)
75,Point (3.71941753 51.0527274)
76,Point (4.4269223 51.16800661)
77,Point (3.66073087 51.05118902)
78,Point (4.41600837 51.20281838)
79,Point (3.7345686 51.05876379)
80,Point (4.38014615 51.18170473)
81,Point (3.7089893 51.00009543)
82,Point (3.69386707 51.01798226)
83,Point (3.72829148 51.06423201)
84,Point (3.52097433 50.99066295)
85,Point (3.69762934 51.01891348)
86,Point (3.71039595 51.06617765)
87,Point (3.71851159 51.05256248)
88,Point (3.75489819 51.03255337)
89,Point (3.61177062 51.00636429)
90,Point (3.53503122 50.96686262)
91,Point (4.36801439 51.18232106)
92,Point (4.41489577 51.16744535)
93,Point (4.36389117 51.17234668)
94,Point (3.7506799 51.04862045)
95,Point (4.42946039 51.16121166)
96,Point (3.7219097 51.05546781)
97,Point (4.39259407 51.1726722)
98,Point (3.73942176 50.98139022)
99,Point (3.70914612 50.99900355)
100,Point (3.64557804 50.98982659)
101,Point (4.42655874 51.16915508)
102,Point (3.79655411 51.06979613)
103,Point (4.39858104 51.16727335)
104,Point (4.33531313 51.21248659)
105,Point (4.376069 51.1916914)
106,Point (4.41060681 51.20976816)
107,Point (4.36884031 51.18293174)
108,Point (3.77010839 51.04501018)
109,Point (3.75795947 51.02158711)
110,Point (3.57868764 50.98391184)
111,Point (4.25207485 51.2118196)
112,Point (3.73436302 51.06240027)
113,Point (3.69914789 51.06476432)
114,Point (4.39694089 51.17648335)
115,Point (3.72640801 51.06613144)
116,Point (3.74841696 51.05596591)
117,Point (4.42660082 51.17181082)
118,Point (3.62601584 51.04756731)
119,Point (3.5372717 51.07739232)
120,Point (3.69956086 51.06481647)
121,Point (4.35371751 51.1627922)
122,Point (3.7148867 51.03815208)
123,Point (3.75511224 51.06266762)
124,Point (3.75473887 51.04064462)
125,Point (3.7300293 51.05897338)
126,Point (3.72634524 51.06600597)
127,Point (4.38000966 51.17757784)
128,Point (3.7526586 51.06493422)
129,Point (4.32629952 51.20003171)
130,Point (4.39985361 51.16308425)
131,Point (3.67089149 51.02447355)
132,Point (4.38344372 51.18819828)
133,Point (3.71321896 51.05895423)
134,Point (3.71078048 51.03095727)
135,Point (3.50823283 50.96745425)
136,Point (4.37586253 51.19222793)
137,Point (3.69946167 51.0645598)
138,Point (3.77474708 51.0561304)
139,Point (4.39380208 51.17382949)
140,Point (3.70611519 51.07679163)
141,Point (3.7412174 51.03518146)
142,Point (4.39409629 51.21524698)
143,Point (4.34110819 51.17345493)
144,Point (4.39551685 51.20916195)
145,Point (4.36311321 51.17223546)
146,Point (3.72678838 51.06628534)
147,Point (4.2565437 51.20920063)
148,Point (3.66257666 51.05375307)
149,Point (3.72800445 51.02995473)
150,Point (3.72035103 51.01995617)
151,Point (4.42496919 51.18361096)
152,Point (3.71277031 51.04503307)
153,Point (4.22557406 51.20348153)
154,Point (3.70801185 51.06439936)
155,Point (3.71330865 51.0455819)
156,Point (3.74961726 51.05015608)
157,Point (4.41982598 51.19420178)
158,Point (3.70994928 51.05021352)
159,Point (4.23746368 51.20931088)
160,Point (4.40224251 51.21420297)
161,Point (4.41977252 51.19423533)
162,Point (3.71807165 51.0341984)
163,Point (4.41294565 51.19790434)
164,Point (4.41921221 51.19778009)
165,Point (3.75917444 51.03525249)
166,Point (4.39358487 51.15761306)
167,Point (4.36839607 51.1797001)
168,Point (3.7556892 51.05679885)
169,Point (3.66937636 51.0279851)
170,Point (4.39439024 51.21017143)
171,Point (3.68993705 51.06227927)
172,Point (3.76185899 51.05418289)
173,Point (4.39216009 51.15684052)
174,Point (4.37639691 51.16960027)
175,Point (3.76759781 50.99439825)
176,Point (3.57841287 51.06712275)
177,Point (4.39013919 51.20446446)
178,Point (3.74472939 51.03339927)
179,Point (4.23975328 51.20919168)
180,Point (3.74320735 51.05889802)
181,Point (3.76813503 51.04751822)
182,Point (3.7549105 51.06584866)
183,Point (4.35630397 51.18105175)
184,Point (3.70718386 51.05740008)
185,Point (4.34847355 51.17426751)
186,Point (4.39990979 51.21127538)
187,Point (3.51220337 50.96820986)
188,Point (4.38315818 51.17167605)
189,Point (3.74752667 51.06903273)
190,Point (3.74518837 51.05526517)
191,Point (4.38943071 51.20429085)
192,Point (4.40595326 51.20591703)
193,Point (3.57673565 51.03656318)
194,Point (4.3751405 51.18600219)
195,Point (3.67484492 51.02688179)
196,Point (4.42313697 51.17451121)
197,Point (4.27546375 51.21220211)
198,Point (3.71080689 51.06468044)
199,Point (3.62697592 51.04266567)
200,Point (3.79072658 51.00178103)
