PID,geometry
2,Point (4.37854185 51.19196355)
4,Point (3.64192129 50.99308365)
6,Point (3.72991916 51.05693563)
9,Point (3.71372973 51.05490695)
14,Point (4.42425269 51.19645802)
29,Point (3.71383785 51.0578243)
31,Point (3.80131659 51.00388019)
35,Point (4.3429017 51.1768539)
38,Point (4.35182612 51.15937018)
41,Point (3.71366625 51.04682962)
42,Point (4.37902616 51.18147824)
49,Point (4.33374665 51.2121267)
58,Point (3.72345365 51.04682444)
62,Point (4.34122154 51.17177599)
63,Point (3.71992376 51.05188887)
69,Point (3.56054067 50.98427653)
70,Point (3.7543337 51.0436416)
75,Point (3.71941753 51.0527274)
91,Point (4.36801439 51.18232106)
93,Point (4.36389117 51.17234668)
95,Point (4.42946039 51.16121166)
105,Point (4.376069 51.1916914)
106,Point (4.41060681 51.20976816)
115,Point (3.72640801 51.06613144)
116,Point (3.74841696 51.05596591)
122,Point (3.7148867 51.03815208)
126,Point (3.72634524 51.06600597)
128,Point (3.7526586 51.06493422)
132,Point (4.38344372 51.18819828)
133,Point (3.71321896 51.05895423)
136,Point (4.37586253 51.19222793)
150,Point (3.72035103 51.01995617)
155,Point (3.71330865 51.0455819)
156,Point (3.74961726 51.05015608)
157,Point (4.41982598 51.19420178)
170,Point (4.39439024 51.21017143)
174,Point (4.37639691 51.16960027)
178,Point (3.74472939 51.03339927)
183,Point (4.35630397 51.18105175)
184,Point (3.70718386 51.05740008)
190,Point (3.74518837 51.05526517)
192,Point (4.40595326 51.20591703)
194,Point (4.3751405 51.18600219)
198,Point (3.71080689 51.06468044)
208,Point (4.39694304 51.18296417)
214,Point (3.72124451 51.04226626)
219,Point (4.3785098 51.18047013)
222,Point (3.70638408 51.08300208)
224,Point (4.42306972 51.16440593)
225,Point (3.7146804 51.03975482)
239,Point (3.72440326 51.06586333)
242,Point (3.74123655 51.04665622)
245,Point (3.71995141 51.04259059)
249,Point (3.54285738 50.97318734)
250,Point (4.37551087 51.18379243)
253,Point (4.40516288 51.20486977)
261,Point (4.37438168 51.17810438)
263,Point (3.67325193 51.08544422)
267,Point (3.7279595 51.0355366)
270,Point (4.42027544 51.18882395)
276,Point (3.71680276 51.04931762)
278,Point (3.68492919 51.06935394)
282,Point (3.74535338 51.03249987)
284,Point (4.39869773 51.2102272)
290,Point (3.72635614 51.06575226)
304,Point (3.77295564 51.07221031)
307,Point (3.77565841 51.06237988)
309,Point (3.67871343 51.07691376)
310,Point (3.70205379 51.05816737)
320,Point (4.42457675 51.19600952)
321,Point (3.70892079 51.06383903)
324,Point (4.35624789 51.18449309)
327,Point (4.36312244 51.17275922)
334,Point (3.72661096 51.06554276)
338,Point (4.41992061 51.1880848)
346,Point (4.38758082 51.18688606)
347,Point (4.37354543 51.18320505)
352,Point (3.58248725 51.01153896)
353,Point (4.37075583 51.18228049)
358,Point (4.42414156 51.18219773)
361,Point (3.74545639 51.05792263)
368,Point (3.69851946 51.06177443)
369,Point (3.76070052 51.04030704)
372,Point (3.70190679 51.05686049)
376,Point (3.74678592 51.05861104)
377,Point (4.36587619 51.17291571)
380,Point (3.54864029 51.00032457)
383,Point (3.71542614 51.03070264)
386,Point (3.74395176 51.04223928)
389,Point (4.37166099 51.1807313)
392,Point (3.69783934 51.08498519)
395,Point (3.56708882 50.98583327)
405,Point (3.71598981 51.03825672)
407,Point (4.41820203 51.19829736)
408,Point (3.75231993 51.05070106)
411,Point (3.74273714 51.04675571)
420,Point (3.71180255 51.07891622)
426,Point (4.37511963 51.18136609)
444,Point (4.36196653 51.17404534)
463,Point (3.73930718 51.05848677)
466,Point (3.74381199 51.03769715)
473,Point (4.43316449 51.17186419)
488,Point (3.75248233 51.07134845)
491,Point (4.41394666 51.20503234)
494,Point (3.67144295 51.06917179)
507,Point (3.72793081 51.03387117)
508,Point (3.72907849 51.06706492)
523,Point (3.72023154 51.06644652)
524,Point (3.72579864 51.0350937)
528,Point (3.74403045 51.05798458)
532,Point (3.72354574 51.05642694)
538,Point (3.70034321 51.05922958)
542,Point (3.74317029 51.03964865)
543,Point (4.39172075 51.20628917)
546,Point (3.71443858 51.05602223)
548,Point (3.70041379 51.05956141)
556,Point (3.57451146 51.00729982)
